"","year","yraw","y1","magnitude","death","inj","intensity","y2","f1","f2","u1","u2","u2_","magnitude.f"
"29",1993,11.92,26.8516440864152,5,0,13,6,13,0.00734561034567306,0.00818835382797786,0.327478678335736,0.620939089532245,0.612750735704267,"(3.9,5.2]"
"30",1993,20.67,46.5623727572318,5.6,1,14,6,15,0.00461806639435921,0.00722006340860145,0.442152748074573,0.635832309162823,0.628612245754221,"(5.2,6]"
"31",1993,9.35,21.0623214939583,5,0,3,7,3,0.00864826401147745,0.0279097183623652,0.281344004449631,0.490316110806254,0.462406392443888,"(3.9,5.2]"
"32",1993,30.55,68.8186012449652,5.6,0,152,7,152,0.00306575374483688,0.00044710161091634,0.525813963727771,0.864057093069399,0.863607866752356,"(5.2,6]"
"33",1993,1.1,2.4779201757598,5.1,0,0,6,0,0.0182782189862845,0.35843056944662,0.054603591084848,0.35843056944662,0,"(3.9,5.2]"
"34",1993,4.8,10.8127425851337,6.6,0,1,7,1,0.0121278948046014,0.0654409925317498,0.17656822037964,0.423871561978369,0.35843056944662,"(6,9]"
"35",1993,48.05,108.240058586598,6,2,37,7,39,0.00177059385910134,0.00278623838076701,0.617465373472554,0.743099968073296,0.740269534453096,"(5.2,6]"
"36",1994,57.4486,104.254804483776,6,0,9,8,9,0.00185787885294908,0.0112450319205706,0.610237399766632,0.584227095846326,0.572982063925755,"(5.2,6]"
"37",1994,18.8951,34.2898687905605,5.8,0,0,7,0,0.00607676481689133,0.35843056944662,0.377164942308893,0.35843056944662,0,"(5.2,6]"
"38",1994,3.47,6.29717994100295,4.7,0,3,7,3,0.0146208911207777,0.0279097183623652,0.116554019377651,0.490316110806254,0.462406392443888,"(3.9,5.2]"
"39",1994,1.5092,2.73881958702065,6.3,0,0,7,0,0.0179109922050809,0.35843056944662,0.0593237460323759,0.35843056944662,0,"(6,9]"
"40",1994,2.047,3.71479174041298,5.2,0,0,6,0,0.0167640632355659,0.35843056944662,0.0762203327309119,0.35843056944662,0,"(3.9,5.2]"
"41",1994,179.968,326.596795280236,7.3,4,814,6,818,0.000370050661470942,3.66918448436487e-05,0.790522978901789,0.943030056490368,0.942993330642971,"(6,9]"
"42",1994,15.2,27.5841887905605,5.2,0,11,6,11,0.00720300939078542,0.00946721257777567,0.332807167726004,0.603970762102653,0.594503549524877,"(3.9,5.2]"
"43",1994,10.565,19.1728259587021,5.5,0,1,7,1,0.00915449419456498,0.0654409925317498,0.264532179870879,0.423871561978369,0.35843056944662,"(5.2,6]"
"44",1994,5.252,9.53106312684366,5.3,0,0,5,0,0.0127399556797586,0.35843056944662,0.160638202566462,0.35843056944662,0,"(5.2,6]"
"45",1994,31.813,57.7326182890856,5.7,0,133,7,133,0.00371516660080922,0.000541234435904357,0.488408620104115,0.85471490851527,0.854170758702831,"(5.2,6]"
"46",1994,2.392,4.3408802359882,6.1,0,407,4,407,0.0161558837292044,0.000105006437298709,0.0865217030453522,0.91787199559265,0.917766795782361,"(6,9]"
"47",1995,9.91,15.3606248425296,6.2,1,37,6,38,0.0103358179954564,0.00287540223196946,0.22745675411707,0.740269534453096,0.73734755911639,"(6,9]"
"48",1995,7.3,11.315091962711,5.1,0,0,6,0,0.0119031664609071,0.35843056944662,0.182603883612932,0.35843056944662,0,"(3.9,5.2]"
"49",1995,0.45,0.69750566893424,5.1,0,0,6,0,0.0228374456864443,0.35843056944662,0.018841189318942,0.35843056944662,0,"(3.9,5.2]"
"50",1995,11,17.0501385739481,5.6,0,20,7,20,0.00978295843378963,0.00557766112159059,0.24444508917627,0.666666666666667,0.661089005545076,"(5.2,6]"
"51",1995,14.81,22.9556865709247,5.1,0,5,6,5,0.00818446966818613,0.0184041032159247,0.297272838293055,0.530824278722768,0.512420175506844,"(3.9,5.2]"
"52",1995,0.97,1.5035122197027,5.8,2,3,6,5,0.020073434907257,0.0184041032159247,0.035987482005652,0.530824278722768,0.512420175506844,"(5.2,6]"
"53",1995,3.84,5.95204837490552,5,0,0,6,0,0.0148619868259541,0.35843056944662,0.111466579470706,0.35843056944662,0,"(3.9,5.2]"
"54",1995,1.65,2.55752078609221,5.3,0,0,6,0,0.0181626341838488,0.35843056944662,0.0560539262518924,0.35843056944662,0,"(5.2,6]"
"55",1995,205.5,318.527588813303,7.2,11,136,8,147,0.000384288579189828,0.000469094489327977,0.787480102046656,0.861767329766189,0.861295934760793,"(6,9]"
"56",1995,105.67,163.789831191736,5.8,12,594,8,606,0.00101383354899122,5.77408992035887e-05,0.69170456716146,0.933297398840472,0.933239585997181,"(5.2,6]"
"57",1995,9.7,15.035122197027,5.2,0,320,6,320,0.0104483701130812,0.000150302676289697,0.22407415599865,0.90696003526571,0.906809382683458,"(3.9,5.2]"
"58",1995,3.52,5.45604434366339,5.3,0,1,6,1,0.0152278427509687,0.0654409925317498,0.104005246786553,0.423871561978369,0.35843056944662,"(5.2,6]"
"59",1995,1.94,3.00702443940539,5,0,3,6,3,0.0175645509505055,0.0279097183623652,0.0640804669171871,0.490316110806254,0.462406392443888,"(3.9,5.2]"
"60",1995,779.97,1208.96332577475,6.5,59,13903,6,13962,4.8087745876763e-05,4.81815447199936e-07,0.903636320829802,0.987378933779103,0.987378451937216,"(6,9]"
"61",1995,0.58,0.899007306626354,5.2,0,0,9,0,0.021913185991146,0.35843056944662,0.023345648155959,0.35843056944662,0,"(3.9,5.2]"
"62",1995,2.18,3.37902746283699,6.2,0,0,7,0,0.0171259994838557,0.35843056944662,0.0705316008022826,0.35843056944662,0,"(6,9]"
"63",1995,4.56,7.0680574452003,4.5,0,2,6,2,0.0141163581326939,0.0385348304655191,0.12762765795888,0.462406392443888,0.423871561978369,"(3.9,5.2]"
"64",1996,3.1407,4.49443740404745,5.6,0,0,6,0,0.0160176585841585,0.35843056944662,0.0889918929034214,0.35843056944662,0,"(5.2,6]"
"65",1996,2.96,4.2358501977204,4.3,0,3,6,3,0.0162527023794543,0.0279097183623652,0.0848197822226969,0.490316110806254,0.462406392443888,"(3.9,5.2]"
"66",1996,2500,3577.57618050709,7,309,17057,6,17366,8.48884660037998e-06,3.44892186171656e-07,0.950092795565434,0.988764592938512,0.988764248031107,"(6,9]"
"67",1996,51.61,73.8554826703885,5.4,1,37,6,38,0.00282796639720292,0.00287540223196946,0.540644235393633,0.740269534453096,0.73734755911639,"(5.2,6]"
"68",1996,34.11,48.8124494068388,6.1,0,0,7,0,0.00441030409682032,0.35843056944662,0.452307205092261,0.35843056944662,0,"(6,9]"
"69",1996,387,553.808792742498,6.9,24,128,8,152,0.000164466367888755,0.00044710161091634,0.846226530074312,0.864057093069399,0.863607866752356,"(6,9]"
"70",1996,1500,2146.54570830426,6.4,26,453,8,479,1.92466477927529e-05,8.22600884137914e-05,0.931923314105545,0.924558620153221,0.924476230914841,"(6,9]"
"71",1996,29.9,42.7878111188649,5.4,0,20,6,20,0.005002737708926,0.00557766112159059,0.42401071911937,0.666666666666667,0.661089005545076,"(5.2,6]"
"72",1996,21.82,31.2250849034659,5.2,2,57,6,59,0.00655460643282817,0.00165114085348835,0.357823154969271,0.785848932932492,0.784179266998546,"(3.9,5.2]"
"73",1996,1.26,1.80309839497558,6,0,0,6,0,0.0194251407163366,0.35843056944662,0.0419012196351474,0.35843056944662,0,"(5.2,6]"
"74",1996,30.8,44.0757385438474,5.7,1,141,7,142,0.00486602889319549,0.000492933852496999,0.430365211494811,0.859363072364938,0.858867641214573,"(5.2,6]"
"75",1996,39.985,57.2197534310305,5.5,2,60,7,62,0.00375033276786843,0.00154708525190002,0.486494246203124,0.790643474718429,0.789079761817818,"(5.2,6]"
"76",1997,382.116,531.970498302783,6.4,12,44,8,56,0.000175083678530423,0.00176728864153192,0.842520886471674,0.780724549561366,0.778936522259797,"(6,9]"
"77",1997,15.6,21.717854718262,5.1,0,0,6,0,0.00848305000080021,0.35843056944662,0.286958799278854,0.35843056944662,0,"(3.9,5.2]"
"78",1997,53,73.7850192351211,5.5,0,2,7,2,0.00283108974678195,0.0385348304655191,0.540444857157463,0.462406392443888,0.423871561978369,"(5.2,6]"
"79",1997,90.1948,125.566510432224,6,1,6,7,7,0.00145750184060411,0.0139081654904294,0.64529102410674,0.560554387632156,0.546646222141727,"(5.2,6]"
"80",1997,468.2648,651.904288210002,6.6,8,62,8,70,0.000127500234309992,0.00131679049883653,0.8604226427009,0.802058120167173,0.800728604271155,"(6,9]"
"81",1997,73.5422,102.383257388549,5.2,0,1,6,1,0.00190125548049135,0.0654409925317498,0.606719949569347,0.423871561978369,0.35843056944662,"(3.9,5.2]"
"82",1997,63.878,88.9290463905861,5.2,0,33,7,33,0.00226676039372717,0.003401439739529,0.578795595939914,0.724638227432945,0.72117518745162,"(3.9,5.2]"
"83",1997,70.71,98.4403530210455,4.2,0,1,6,1,0.00199808514389258,0.0654409925317498,0.599035097644453,0.423871561978369,0.35843056944662,"(3.9,5.2]"
"84",1997,26.75,37.2405521611224,5.3,0,0,6,0,0.00566616150670229,0.35843056944662,0.394478748575446,0.35843056944662,0,"(5.2,6]"
"85",1997,7.975,11.1025571396244,5.6,0,0,7,0,0.0119972814288288,0.35843056944662,0.180064069449034,0.35843056944662,0,"(5.2,6]"
"86",1998,793.879,1114.03823175182,6.2,49,11439,8,11488,5.47555475072283e-05,6.49620462152095e-07,0.898766200625044,0.985996391588509,0.985995741924727,"(6,9]"
"87",1998,21.412,30.0471313868613,6,0,0,7,0,0.0067540406107383,0.35843056944662,0.349985588472647,0.35843056944662,0,"(5.2,6]"
"88",1998,52.3975,73.5286085766423,6.2,0,26,7,26,0.00284250146128644,0.00446115166564404,0.539717474077557,0.697395659495992,0.6928377108078,"(6,9]"
"89",1998,4.744,6.65718248175182,5.2,1,0,6,1,0.0143798157181291,0.0654409925317498,0.121773880700395,0.423871561978369,0.35843056944662,"(3.9,5.2]"
"90",1998,15.216,21.3523795620438,5,0,1,6,1,0.00857453261127199,0.0654409925317498,0.283841785623332,0.423871561978369,0.35843056944662,"(3.9,5.2]"
